trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
86,False,"{'a': 0.002, 'e': 0.653073201944699}",30,2,-77.71718098878763,"{0: 22, 1: 1, 2: 2, 3: 2, 4: 1}",1
87,False,"{'a': 0.002, 'e': 0.6498078359349754}",20,8,-40.54348126987718,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
88,False,"{'a': 0.002, 'e': 0.6465587967553006}",20,8,-26.721679839589367,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
89,False,"{'a': 0.002, 'e': 0.6433260027715241}",25,0,-96.52728906310281,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",1
90,False,"{'a': 0.002, 'e': 0.6401093727576664}",25,15,-1.5208951214257893,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.002, 'e': 0.6369088258938781}",25,0,-124.3810853169516,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
92,False,"{'a': 0.002, 'e': 0.6337242817644086}",25,3,-117.06210496584944,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 2}",1
93,False,"{'a': 0.002, 'e': 0.6305556603555866}",20,0,-18.65366421422526,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
94,False,"{'a': 0.002, 'e': 0.6274028820538087}",25,13,-7.358045935832691,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.002, 'e': 0.6242658676435396}",20,3,-42.161793015458315,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 0}",1
96,False,"{'a': 0.002, 'e': 0.621144538305322}",25,0,-68.11575044162804,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
97,False,"{'a': 0.002, 'e': 0.6180388156137954}",20,13,-28.82237613566103,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.002, 'e': 0.6149486215357264}",25,0,-16.244637790247992,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
99,False,"{'a': 0.002, 'e': 0.6118738784280477}",30,10,-39.65021850746966,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",1
100,False,"{'a': 0.002, 'e': 0.6088145090359075}",20,10,15.62955788233309,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.002, 'e': 0.6057704364907279}",20,0,-117.88964925543642,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
102,False,"{'a': 0.002, 'e': 0.6027415843082743}",20,0,-121.11540913676323,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
